Translated_Comment,Cleaned_Translated_Comment,Sentiment_Scores,Sentiment_Compound,Sentiment_Label
"Another lies again against China, how much did US Budget, to destroy CHINA, using mainstream Media.",another lies again against china how much did us budget to destroy china using mainstream media,"{'neg': 0.31, 'neu': 0.69, 'pos': 0.0, 'compound': -0.743}",-0.743,Negative
Pls also mention all links for news,pls also mention all links for news,"{'neg': 0.0, 'neu': 0.822, 'pos': 0.178, 'compound': 0.0772}",0.0772,Positive
This nonsense is out of India.  None of this stuff is going on in China.,this nonsense is out of india none of this stuff is going on in china,"{'neg': 0.162, 'neu': 0.838, 'pos': 0.0, 'compound': -0.4019}",-0.4019,Negative
Again? Stop eating ðŸ¦‡. I m done living isolated for 2 years because of social distancing,again stop eating ðÿ i m done living isolated for 2 years because of social distancing,"{'neg': 0.243, 'neu': 0.757, 'pos': 0.0, 'compound': -0.5423}",-0.5423,Negative
"This is all by Design, the people who are responsible should be held accountable",this is all by design the people who are responsible should be held accountable,"{'neg': 0.0, 'neu': 0.85, 'pos': 0.15, 'compound': 0.3182}",0.3182,Positive
Tied to the jibby jabs,tied to the jibby jabs,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
Fear mongering again plandemic part2,fear mongering again plandemic part2,"{'neg': 0.625, 'neu': 0.375, 'pos': 0.0, 'compound': -0.6124}",-0.6124,Negative
"Viruses donâ€:trade_mark:t care if they travel by air or by sea.  Letâ€:trade_mark:s stop all flights, all shipping and all mail from China for the next twelve months.",viruses donâtrade_markt care if they travel by air or by sea letâtrade_marks stop all flights all shipping and all mail from china for the next twelve months,"{'neg': 0.072, 'neu': 0.822, 'pos': 0.105, 'compound': 0.25}",0.25,Positive
"Unlike Hong Kong, Taiwan had been a
sovereign nation. It
had been independent.  Xi should accept that,
They will try to annex
Taiwan, but don't expect Taiwan to roll
over and hand the regime quietly over",unlike hong kong taiwan had been a sovereign nation it had been independent xi should accept that they will try to annex taiwan but dont expect taiwan to roll over and hand the regime quietly over,"{'neg': 0.0, 'neu': 0.848, 'pos': 0.152, 'compound': 0.7269}",0.7269,Positive
"Itâ€:trade_mark:s such a coincidence that another new & deadly ðŸ¦ inside China is taking off, as  announced by Chinaâ€:trade_mark:s CDC.  

So, a newðŸ¦ is waiting to welcome Trump again. Ghebreyesusâ€:trade_mark: repeated pandering to China has evoked distrust of WHO among many democratic countries. Itâ€:trade_mark:s Time to see Trump kick WHO ass.  

Americans, get your ðŸ˜·out. Chinese New Year is on Jan 29, 2025 when many Chinese will travel out to the world.  HK traced the first carrier, a couple, who brought the first Covid case into HK. If my recall is correct: The first case from China was came in from a male patient in San Fran, 2019. 

2025: Dejavu?",itâtrade_marks such a coincidence that another new deadly ðÿ inside china is taking off as announced by chinaâtrade_marks cdc so a newðÿ is waiting to welcome trump again ghebreyesusâtrade_mark repeated pandering to china has evoked distrust of who among many democratic countries itâtrade_marks time to see trump kick who ass americans get your ðÿout chinese new year is on jan 29 2025 when many chinese will travel out to the world hk traced the first carrier a couple who brought the first covid case into hk if my recall is correct the first case from china was came in from a male patient in san fran 2019 2025 dejavu,"{'neg': 0.055, 'neu': 0.919, 'pos': 0.026, 'compound': -0.5106}",-0.5106,Negative
"Of course, Biden no Covid concerns. Trump, now Covid will be rampant and Trumpâ€:trade_mark:s administration will be hampered. Games being played to stop America from being great again.",of course biden no covid concerns trump now covid will be rampant and trumpâtrade_marks administration will be hampered games being played to stop america from being great again,"{'neg': 0.126, 'neu': 0.688, 'pos': 0.186, 'compound': 0.4767}",0.4767,Positive
The whole world should blame and pay China for the covid spreading that happened,the whole world should blame and pay china for the covid spreading that happened,"{'neg': 0.241, 'neu': 0.759, 'pos': 0.0, 'compound': -0.4215}",-0.4215,Negative
Countries need to close their borders before they spread these diseases to the rest of us!,countries need to close their borders before they spread these diseases to the rest of us,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
Chinvid-19 isn't a threat like everything made in china it was of poor quality.,chinvid19 isnt a threat like everything made in china it was of poor quality,"{'neg': 0.274, 'neu': 0.579, 'pos': 0.146, 'compound': -0.3472}",-0.3472,Negative
B.Y.D.stands for Blood on Your Drive.ðŸ˜¢,bydstands for blood on your driveðÿ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
"This all sounds so very (cough, cough) familiar. 1 thing though we are not burdened by money hungry Big Pharma.",this all sounds so very cough cough familiar 1 thing though we are not burdened by money hungry big pharma,"{'neg': 0.0, 'neu': 0.894, 'pos': 0.106, 'compound': 0.3089}",0.3089,Positive
China's EV can NEVER be cheap in Singapore.  Go figure this.,chinas ev can never be cheap in singapore go figure this,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
Ccp's strategy to claimed another lands very stupid,ccps strategy to claimed another lands very stupid,"{'neg': 0.345, 'neu': 0.655, 'pos': 0.0, 'compound': -0.5709}",-0.5709,Negative
"Wuhan or Fauci, eh... both.",wuhan or fauci eh both,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
"News Flash! The majority of people in the USA do NOT want Electric Cars. The weather in Â¾ of the Continental U.S. States is too cold, â…“-Â½ for up to 6 months a year & electric cars just won't work. Also the Cost of Electricy is Extremely High now.ðŸ¤·â€â:trade_mark:€ï¸",news flash the majority of people in the usa do not want electric cars the weather in â¾ of the continental us states is too cold ââ½ for up to 6 months a year electric cars just wont work also the cost of electricy is extremely high nowðÿââtrade_markï,"{'neg': 0.025, 'neu': 0.975, 'pos': 0.0, 'compound': -0.0572}",-0.0572,Negative
Lockdowns should be banned globally.,lockdowns should be banned globally,"{'neg': 0.429, 'neu': 0.571, 'pos': 0.0, 'compound': -0.4588}",-0.4588,Negative
The Chinese locals are already blaming it on foreigners,the chinese locals are already blaming it on foreigners,"{'neg': 0.286, 'neu': 0.714, 'pos': 0.0, 'compound': -0.4939}",-0.4939,Negative
1:58.  Propaganda at its finest.,158 propaganda at its finest,"{'neg': 0.333, 'neu': 0.667, 'pos': 0.0, 'compound': -0.25}",-0.25,Negative
What?,what,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
China';s new AI language model is already blaming the USA.,chinas new ai language model is already blaming the usa,"{'neg': 0.262, 'neu': 0.738, 'pos': 0.0, 'compound': -0.4939}",-0.4939,Negative
Bioweapon from Chinese lab?,bioweapon from chinese lab,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
Another COVID 19 in the making in China ðŸ‡¨ðŸ‡³ ?,another covid 19 in the making in china ðÿðÿ³,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
Oh no! Not any viruses again. By now we are all immune. This is a crazy scare us all scheme. Enough now.,oh no not any viruses again by now we are all immune this is a crazy scare us all scheme enough now,"{'neg': 0.279, 'neu': 0.643, 'pos': 0.079, 'compound': -0.6808}",-0.6808,Negative
No it is not. I remember presidents Nixon Carter and Reagan saying it is part of China the videos are here on YouTube ðŸ˜…ðŸ˜…ðŸ˜…,no it is not i remember presidents nixon carter and reagan saying it is part of china the videos are here on youtube ðÿðÿðÿ,"{'neg': 0.087, 'neu': 0.913, 'pos': 0.0, 'compound': -0.296}",-0.296,Negative
IS Hunter Biden in China again????,is hunter biden in china again,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
The entire time Biden was in office. You heard nothing the second Trump shows up new virus.,the entire time biden was in office you heard nothing the second trump shows up new virus,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
So BYDbhas 178 Chinese techeciabsinthe hotels but hw many are local tecgnicialn are working in the projects . ?,so bydbhas 178 chinese techeciabsinthe hotels but hw many are local tecgnicialn are working in the projects,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
Do you at all know what it will be like this spring wit the floods and rains and the effect of those humidities in the air will bring in Snow also next year?,do you at all know what it will be like this spring wit the floods and rains and the effect of those humidities in the air will bring in snow also next year,"{'neg': 0.0, 'neu': 0.928, 'pos': 0.072, 'compound': 0.3612}",0.3612,Positive
People in the US are getting sick after those drones sprayed all of that stuff coincidence?,people in the us are getting sick after those drones sprayed all of that stuff coincidence,"{'neg': 0.18, 'neu': 0.82, 'pos': 0.0, 'compound': -0.5106}",-0.5106,Negative
"Oh, you women huh?  And wont even come do the shotgun tests on me personally..  how many years?  
  Why do you leed the women away from me and to other males,    it is very damaging . 
 And you only make youreselves look bad.  Very bad really.",oh you women huh and wont even come do the shotgun tests on me personally how many years why do you leed the women away from me and to other males it is very damaging and you only make youreselves look bad very bad really,"{'neg': 0.206, 'neu': 0.794, 'pos': 0.0, 'compound': -0.8976}",-0.8976,Negative
china WILL BLAME THE USA TAIWAN jAPAN  OR PHILIPPINES FOR SURE,china will blame the usa taiwan japan or philippines for sure,"{'neg': 0.175, 'neu': 0.657, 'pos': 0.168, 'compound': -0.0258}",-0.0258,Neutral
Thanks China in Focus NTD Tiffany & Iris Tao. â¤,thanks china in focus ntd tiffany iris tao â,"{'neg': 0.0, 'neu': 0.734, 'pos': 0.266, 'compound': 0.4404}",0.4404,Positive
"Hmmmmm.......why is this big news story, if its basically mild.",hmmmmmwhy is this big news story if its basically mild,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
For Chinese authorities to say they comply with laws and avoid violating human rights in Brazil is not true. The track record of the CCP is to do whatever it takes to dominate and subdue a foreign market of a country until they have forced all other local manufacturers out of business . If bringing with them indentured Chinese workers who are close to slave laborers is going to improve their chances of accomplishing their goal they will do it until they get caught. Brazilians should not be fooled by the Chinese companies.,for chinese authorities to say they comply with laws and avoid violating human rights in brazil is not true the track record of the ccp is to do whatever it takes to dominate and subdue a foreign market of a country until they have forced all other local manufacturers out of business if bringing with them indentured chinese workers who are close to slave laborers is going to improve their chances of accomplishing their goal they will do it until they get caught brazilians should not be fooled by the chinese companies,"{'neg': 0.121, 'neu': 0.812, 'pos': 0.067, 'compound': -0.6856}",-0.6856,Negative
6 g virus this time,6 g virus this time,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
Just turn off your TV problems solved.  Tel a (lie) vision.ðŸ“º,just turn off your tv problems solved tel a lie visionðÿº,"{'neg': 0.196, 'neu': 0.652, 'pos': 0.152, 'compound': -0.1531}",-0.1531,Negative
Good thing Europe stop flying to China.  China should stop flying out,good thing europe stop flying to china china should stop flying out,"{'neg': 0.27, 'neu': 0.552, 'pos': 0.178, 'compound': -0.128}",-0.128,Negative
Covid does really start from china. And again they will falsely spread falls rumors to their country it's america fault. To hate more americans. To make their people aggressive towards Americans. That they think will favor to their soldiers motivation for more anger to fight america. Thinking they were like the best aggressive honey badgers.,covid does really start from china and again they will falsely spread falls rumors to their country its america fault to hate more americans to make their people aggressive towards americans that they think will favor to their soldiers motivation for more anger to fight america thinking they were like the best aggressive honey badgers,"{'neg': 0.225, 'neu': 0.614, 'pos': 0.161, 'compound': -0.5657}",-0.5657,Negative
We al know democrats are to blame,we al know democrats are to blame,"{'neg': 0.286, 'neu': 0.714, 'pos': 0.0, 'compound': -0.34}",-0.34,Negative
"The UN keeps proving its irrelevance, except as an organ for autocratic regimes and terrorists. Theyâ€:trade_mark:re hopping mad at Israel for protecting itself against terrorist attacks, but entrench occupation, aggression, ethnic cleansing and terrorism by China, Iran, Russia, Yemen and all the other despotic regimes.",the un keeps proving its irrelevance except as an organ for autocratic regimes and terrorists theyâtrade_markre hopping mad at israel for protecting itself against terrorist attacks but entrench occupation aggression ethnic cleansing and terrorism by china iran russia yemen and all the other despotic regimes,"{'neg': 0.324, 'neu': 0.676, 'pos': 0.0, 'compound': -0.9562}",-0.9562,Negative
I mentioned on YouTube 4 months ago that China viruses will be terrible in February 2025 do not travel for Chinese's New Year 2035 a must,i mentioned on youtube 4 months ago that china viruses will be terrible in february 2025 do not travel for chineses new year 2035 a must,"{'neg': 0.11, 'neu': 0.89, 'pos': 0.0, 'compound': -0.4767}",-0.4767,Negative
"That is a  result of malnourish, sleeping in the open outside, stress , & depression.EXPECTED IN A  DEPRESS  DOWNFALL SOCIETY WITH AN ECONOMIC FALL DOWN. / MELTDOWN.",that is a result of malnourish sleeping in the open outside stress depressionexpected in a depress downfall society with an economic fall down meltdown,"{'neg': 0.214, 'neu': 0.786, 'pos': 0.0, 'compound': -0.7184}",-0.7184,Negative
BYD EV's are the new blood diamonds.,byd evs are the new blood diamonds,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
When China sneezes the whole world catches a cold ðŸ¤§,when china sneezes the whole world catches a cold ðÿ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
New York based. Can't be any good.,new york based cant be any good,"{'neg': 0.286, 'neu': 0.714, 'pos': 0.0, 'compound': -0.3412}",-0.3412,Negative
This channel sound like a western warmongers hegemony propaganda channel.,this channel sound like a western warmongers hegemony propaganda channel,"{'neg': 0.379, 'neu': 0.458, 'pos': 0.163, 'compound': -0.5106}",-0.5106,Negative
round two...shutdown 2.0,round twoshutdown 20,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
Just another virus to make money for the pharmaceutical companies and to reduce the human population of the world but in other countries they steal children to grow the population this world is sick. One of the things God hate is unfair profits so companies stand in the line of  God's anger on companies.,just another virus to make money for the pharmaceutical companies and to reduce the human population of the world but in other countries they steal children to grow the population this world is sick one of the things god hate is unfair profits so companies stand in the line of gods anger on companies,"{'neg': 0.301, 'neu': 0.614, 'pos': 0.085, 'compound': -0.9612}",-0.9612,Negative
Countries should lock their ports to all chinese citizen,countries should lock their ports to all chinese citizen,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
"please explain to me how china, a country that does not recognize international law unless it suits them, become a a member of the UN & not only that but they have a voice/power to tell the UN what is supposed to do.",please explain to me how china a country that does not recognize international law unless it suits them become a a member of the un not only that but they have a voicepower to tell the un what is supposed to do,"{'neg': 0.0, 'neu': 0.961, 'pos': 0.039, 'compound': 0.1655}",0.1655,Positive
With these lung infections in so many children you do wonder what was in the Chinese CCP covid injections?  The West has recorded unexplained increase in deaths in various populations.  You do wonder?,with these lung infections in so many children you do wonder what was in the chinese ccp covid injections the west has recorded unexplained increase in deaths in various populations you do wonder,"{'neg': 0.0, 'neu': 0.933, 'pos': 0.067, 'compound': 0.3182}",0.3182,Positive
"Bro, here we go again man!

Its covid all over again bro, and from china again!

They can't stop man!",bro here we go again man its covid all over again bro and from china again they cant stop man,"{'neg': 0.0, 'neu': 0.91, 'pos': 0.09, 'compound': 0.2235}",0.2235,Positive
O man the bullshit media propaganda starts again.,o man the bullshit media propaganda starts again,"{'neg': 0.492, 'neu': 0.508, 'pos': 0.0, 'compound': -0.7003}",-0.7003,Negative
Winnie the flu v2.0 ðŸ˜‚,winnie the flu v20 ðÿ,"{'neg': 0.394, 'neu': 0.606, 'pos': 0.0, 'compound': -0.3818}",-0.3818,Negative
All 4 horse man at 1 time,all 4 horse man at 1 time,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
"President Trump must be vigilant.China might use the virus again,",president trump must be vigilantchina might use the virus again,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
"RSV is a global issue, not just a problem for China. However, the most dangerous and deadly ""virus"" plaguing China is the CCP and its parasitic leadership. This is the root of the nation's current and most pressing challenges. The fabricated data calling a million death in the America is pure nonsense. Number one killer is Influenza. No one knows what happened since the corrupted CDC aided those to use federal funding to call it COVID vice other known diseases.",rsv is a global issue not just a problem for china however the most dangerous and deadly virus plaguing china is the ccp and its parasitic leadership this is the root of the nations current and most pressing challenges the fabricated data calling a million death in the america is pure nonsense number one killer is influenza no one knows what happened since the corrupted cdc aided those to use federal funding to call it covid vice other known diseases,"{'neg': 0.176, 'neu': 0.769, 'pos': 0.055, 'compound': -0.924}",-0.924,Negative
"Thanks,  Miss Tao.",thanks miss tao,"{'neg': 0.291, 'neu': 0.182, 'pos': 0.527, 'compound': 0.3182}",0.3182,Positive
"Every winter, a new respiratory infection in China.",every winter a new respiratory infection in china,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
how is it they wanna kill you and save you at the same time............,how is it they wanna kill you and save you at the same time,"{'neg': 0.236, 'neu': 0.603, 'pos': 0.161, 'compound': -0.3612}",-0.3612,Negative
"The real story is that very few new vehicles for sale cost over $9,000 to produce.  If you buy a new domestically made vehicle in the USA 20 to 30 percent of it is made in China. Even if you bought a new vehicle in 1999 it had parts in it from around the world.",the real story is that very few new vehicles for sale cost over 9000 to produce if you buy a new domestically made vehicle in the usa 20 to 30 percent of it is made in china even if you bought a new vehicle in 1999 it had parts in it from around the world,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
Donâ€:trade_mark:t be fooled guys. These channel are controlled by SEEEEEEE CEEEEE PEEEEEEE,donâtrade_markt be fooled guys these channel are controlled by seeeeeee ceeeee peeeeeee,"{'neg': 0.191, 'neu': 0.809, 'pos': 0.0, 'compound': -0.3818}",-0.3818,Negative
There are no level playing field with every CCPland private companies whom are backed by defacto founder(CCP) so how to compete with them no way. 0:27,there are no level playing field with every ccpland private companies whom are backed by defacto founderccp so how to compete with them no way 027,"{'neg': 0.206, 'neu': 0.756, 'pos': 0.038, 'compound': -0.5983}",-0.5983,Negative
Did someone eat another bat??ðŸ˜‚ðŸ˜‚,did someone eat another batðÿðÿ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
Stop living so close together,stop living so close together,"{'neg': 0.355, 'neu': 0.645, 'pos': 0.0, 'compound': -0.296}",-0.296,Negative
"Long story short, china cant stop attacking a trump presidency ðŸ˜‚",long story short china cant stop attacking a trump presidency ðÿ,"{'neg': 0.0, 'neu': 0.673, 'pos': 0.327, 'compound': 0.5216}",0.5216,Positive
"These diseases would be OK if China ever learned anything from dealing with the problem but they don't. Time after time, they make the same mistakes, do nothing, wait, hide, oh can't hide, what shall we do? Do a bit as quickly as possible, then lie. Time after time",these diseases would be ok if china ever learned anything from dealing with the problem but they dont time after time they make the same mistakes do nothing wait hide oh cant hide what shall we do do a bit as quickly as possible then lie time after time,"{'neg': 0.094, 'neu': 0.811, 'pos': 0.095, 'compound': -0.2373}",-0.2373,Negative
Every so often this channel reports the same propaganda nonsense. No sane mind believes this.,every so often this channel reports the same propaganda nonsense no sane mind believes this,"{'neg': 0.365, 'neu': 0.635, 'pos': 0.0, 'compound': -0.7096}",-0.7096,Negative
"Viruses have been with us for ever, my grand father died of typhus many years ago.
I am 78, I was 10..we had no TV or news then, so people made do as best they could.
Now, it's all about frightening people so that they can be controlled by fear ..It's all
about power, to control the population, to make people Zombies with lies.",viruses have been with us for ever my grand father died of typhus many years ago i am 78 i was 10we had no tv or news then so people made do as best they could now its all about frightening people so that they can be controlled by fear its all about power to control the population to make people zombies with lies,"{'neg': 0.189, 'neu': 0.72, 'pos': 0.091, 'compound': -0.7783}",-0.7783,Negative
"Wife and kid just got a virus like that, in a couple of days there were fine. Hospitals were full though, and they try to run lots of tests and sell you medicine.",wife and kid just got a virus like that in a couple of days there were fine hospitals were full though and they try to run lots of tests and sell you medicine,"{'neg': 0.0, 'neu': 0.878, 'pos': 0.122, 'compound': 0.5106}",0.5106,Positive
"The US  should block chinese telecom offer in US. They should de-risk or decouple from them, as they are a National Security Risk.",the us should block chinese telecom offer in us they should derisk or decouple from them as they are a national security risk,"{'neg': 0.182, 'neu': 0.73, 'pos': 0.088, 'compound': -0.3818}",-0.3818,Negative
America just need to grow up.they can't compete with China.China kids  is leading in  mathematics science and there you have the reason for success plain and simple.our govs is intentionally doming down ours,america just need to grow upthey cant compete with chinachina kids is leading in mathematics science and there you have the reason for success plain and simpleour govs is intentionally doming down ours,"{'neg': 0.0, 'neu': 0.896, 'pos': 0.104, 'compound': 0.5719}",0.5719,Positive
Russia desperate for money but the only thing keeping Russia going is China,russia desperate for money but the only thing keeping russia going is china,"{'neg': 0.121, 'neu': 0.879, 'pos': 0.0, 'compound': -0.1655}",-0.1655,Negative
"PRC is the capital of the world for indiscriminate use of antibiotic and antivirals, so it is the breeding ground for resistant disease.",prc is the capital of the world for indiscriminate use of antibiotic and antivirals so it is the breeding ground for resistant disease,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
Please close all air lines,please close all air lines,"{'neg': 0.0, 'neu': 0.635, 'pos': 0.365, 'compound': 0.3182}",0.3182,Positive
"Iâ€:trade_mark:m gonna have to disagree with Chinaâ€:trade_mark:s EV car market growing thatâ€:trade_mark:s absolutely not true
Check YouTube channels like ðŸ¤”ðŸ‘‰ CHINA OBSERVER or CHINA FACT CHASERS ðŸ¤·ðŸ»â€â:trade_mark:‚ï¸ðŸ¤·ðŸ»â€â:trade_mark:‚ï¸
Thereâ€:trade_mark:s thousands of EV companies closing every week and a few million people sleeping on the streets of all the big cities on top of Covid and whatever the hell else they got running around rampant getting everybody sick. Itâ€:trade_mark:s a mess right now in China I kind of feel bad for the people . I DONâ€:trade_mark:T GIVE TWO SHITS ABOUT THE CCP, THOUGH THEY ARE THE REASON WHY THE CHINESE PEOPLE ARE SUFFERING.ðŸ˜¡ðŸ˜¡",iâtrade_markm gonna have to disagree with chinaâtrade_marks ev car market growing thatâtrade_marks absolutely not true check youtube channels like ðÿðÿ china observer or china fact chasers ðÿðÿââtrade_markïðÿðÿââtrade_markï thereâtrade_marks thousands of ev companies closing every week and a few million people sleeping on the streets of all the big cities on top of covid and whatever the hell else they got running around rampant getting everybody sick itâtrade_marks a mess right now in china i kind of feel bad for the people i donâtrade_markt give two shits about the ccp though they are the reason why the chinese people are sufferingðÿðÿ,"{'neg': 0.188, 'neu': 0.761, 'pos': 0.051, 'compound': -0.9532}",-0.9532,Negative
"Nope, no it is not. The world health organization would be warning the rest of the planet, and nope they haven't. They dont want the US messing up again and killing more people with incompetence like during the pandemic. Ahahaha hahahahahahahaha hahaha ðŸ˜…ðŸ˜…ðŸ˜…",nope no it is not the world health organization would be warning the rest of the planet and nope they havent they dont want the us messing up again and killing more people with incompetence like during the pandemic ahahaha hahahahahahahaha hahaha ðÿðÿðÿ,"{'neg': 0.187, 'neu': 0.648, 'pos': 0.165, 'compound': -0.4958}",-0.4958,Negative
There are corruption in every part of china. You name it..from the law to those incharge. But still the little pinks love n support the ccp.ðŸ‘ˆðŸ˜ðŸ˜ðŸ˜âœŒï¸,there are corruption in every part of china you name itfrom the law to those incharge but still the little pinks love n support the ccpðÿˆðÿðÿðÿâœœï,"{'neg': 0.0, 'neu': 0.729, 'pos': 0.271, 'compound': 0.873}",0.873,Positive
"Tarriff plus the meta pneumonia, tough break for 2025. What else can go wrong",tarriff plus the meta pneumonia tough break for 2025 what else can go wrong,"{'neg': 0.277, 'neu': 0.723, 'pos': 0.0, 'compound': -0.5574}",-0.5574,Negative
The UK Islamic country is well in bed with the China Commies.,the uk islamic country is well in bed with the china commies,"{'neg': 0.0, 'neu': 0.84, 'pos': 0.16, 'compound': 0.2732}",0.2732,Positive
What is the PRC??? It is Communist China.,what is the prc it is communist china,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
Here we go againðŸ˜·,here we go againðÿ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
"I would not necessarily call this propaganda but using loose terms like ""on the rise"" and ""seen more in under 14"" without any  context seems like a way to have sow fear.",i would not necessarily call this propaganda but using loose terms like on the rise and seen more in under 14 without any context seems like a way to have sow fear,"{'neg': 0.209, 'neu': 0.637, 'pos': 0.153, 'compound': -0.3346}",-0.3346,Negative
"The EV's are parked en masse, but what about the batteries that are catching fire left and right?",the evs are parked en masse but what about the batteries that are catching fire left and right,"{'neg': 0.154, 'neu': 0.846, 'pos': 0.0, 'compound': -0.4767}",-0.4767,Negative
How about China let USA telecom services to open up a business for the same number of years China telecom has operated in USA then after that time period China telecom can operate again,how about china let usa telecom services to open up a business for the same number of years china telecom has operated in usa then after that time period china telecom can operate again,"{'neg': 0.0, 'neu': 0.962, 'pos': 0.038, 'compound': 0.0772}",0.0772,Positive
BYD is fake,byd is fake,"{'neg': 0.608, 'neu': 0.392, 'pos': 0.0, 'compound': -0.4767}",-0.4767,Negative
Wow No vaccine or medications Looks like that Covid virus they released on the World has mutated ! When are  Countries going to put a stop to china world domination plan !,wow no vaccine or medications looks like that covid virus they released on the world has mutated when are countries going to put a stop to china world domination plan,"{'neg': 0.152, 'neu': 0.678, 'pos': 0.171, 'compound': 0.4019}",0.4019,Positive
the chinese goverment alway lying,the chinese goverment alway lying,"{'neg': 0.459, 'neu': 0.541, 'pos': 0.0, 'compound': -0.5267}",-0.5267,Negative
Im starting to taste and smell everything  from a to z after having covid19.,im starting to taste and smell everything from a to z after having covid19,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
All chinese people are lied to the goverment,all chinese people are lied to the goverment,"{'neg': 0.271, 'neu': 0.729, 'pos': 0.0, 'compound': -0.3818}",-0.3818,Negative
China manfactuering zero,china manfactuering zero,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
its all bull shit the goverment lying,its all bull shit the goverment lying,"{'neg': 0.583, 'neu': 0.417, 'pos': 0.0, 'compound': -0.7906}",-0.7906,Negative
What an evil deed by ccp,what an evil deed by ccp,"{'neg': 0.468, 'neu': 0.532, 'pos': 0.0, 'compound': -0.6597}",-0.6597,Negative
Here we go again virus from the virus capital of the world the covid city of the universe CHINA,here we go again virus from the virus capital of the world the covid city of the universe china,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
"Always China ðŸ‡¨ðŸ‡³ smh  ðŸ¤¦ 
Yalls haven't learned Yalls lesson from Covid, keep clean people",always china ðÿðÿ³ smh ðÿ yalls havent learned yalls lesson from covid keep clean people,"{'neg': 0.128, 'neu': 0.722, 'pos': 0.15, 'compound': 0.1027}",0.1027,Positive
Here we go again.  ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚,here we go again ðÿðÿðÿðÿ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
"""new infections""...... here we go.",new infections here we go,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
"Keepem the hell
Away from here",keepem the hell away from here,"{'neg': 0.479, 'neu': 0.521, 'pos': 0.0, 'compound': -0.6808}",-0.6808,Negative
