Cleaned_Translated_Comment,VADER_Sentiment,Label_Encoded_Sentiment
its jover pandemic every 5 years,Neutral,1
look up the symptoms of bird flu,Negative,0
close chinese borders,Neutral,1
jesus is coming soon,Neutral,1
why call it is wuhan virus call it corona virus ffs,Negative,0
and the chinese foreign minister is coming to nigeria are we supposed to receive him,Neutral,1
how come no nigerian news media has reported this,Negative,0
theatre again so the reporters and cameramen next to someone being intubated is in no danger right,Negative,0
time for palki to give it a name,Neutral,1
5 years later,Neutral,1
why from china again are these viruses lab made,Neutral,1
435 what openness are you talking about china is the most isolationist country ccp murdered their own doctors to shut them up,Negative,0
i forget when it happened but the psychopath ccp leadership made a deal with the anglosaxon elite to begin what they refer to as the great culling ccp agreed to release viruses on their own people first and then facilitate the spread of the virus out of china they start with their own people because ccp leadership has always been morally bankrupt ccp cares only about making money and staying in power,Positive,2
may god help them to stay alive ,Positive,2
coincidentally trump is in the power now ,Neutral,1
its probably all a fucking scam those people probably arent even sick,Negative,0
a day without envy and vilification of china is a day wasted india,Negative,0
of course they havent been continuing with gain of function research,Positive,2
these clowns want us worrying about what we cant see again ,Negative,0
ignore the fear tactics,Negative,0
and so it begins,Neutral,1
more bat fried rice f this,Neutral,1
2025 will be wild brace up human race,Neutral,1
guys its happeningn again its time to buy the toilet paper and get vax,Neutral,1
flu that is all news is freaking ppl out,Negative,0
china and its usual kak it provides the world,Neutral,1
we need another lockdown so hope its true we need 5 years of lockdown for global warming to slowdown,Positive,2
having the best herbal doctor is the greatest thing in life doc oromi on youtube channel is the reason im still alive today thank you very much for curing my hpv,Positive,2
chinas cooked another one ,Neutral,1
lock down china,Neutral,1
yippie another lockdown,Neutral,1
could they close the borders or sum i aint trying to catch nun,Neutral,1
i rebuke that saying it will not be 2020 again no way in the name of jesus i rebuke all demonic viruses in jesus name,Negative,0
this is their government using biological attack on their own people,Negative,0
why always china,Neutral,1
iv played these games before ,Positive,2
dont show fake news which pharma giant want to make money,Positive,2
first of all there is a treatment it called the covid19 protocol thats with ginger turmeric onion garlic honey lemon and cayenne pepper why im telling you that its because i had it for 7 days and this is what the treatment also i add vitamin b zinc vitamin c and hydrotherapy in the midst of it and plenty of plenty outside in the sun and keep my body keep moving and above all of that it was christ lord jesus that kept me safe to christ be the glory whatever mankind may develop the lord will always have a counterfeit because according to the bible in matthew 24 pestilence and pestilence means viruses disease of all kind and this is prophecy in the midst of all of that the lord always see his people through and always taught them to use the right remedy so if you want to go and burn down the whole forest and set the valleys of grass and flame because of the natural property that can help the body recover and survive and i forget to mention oregano oil as well to help soak a lot to christ be the glory blessings,Positive,2
oh no palki is at it again attacking china so she can sleep peacefully tonight give it up wont work,Negative,0
whites who are you blacks want a rebel musagetee staillion in america nor faults i surely do not,Neutral,1
china please not again ,Positive,2
is this 2020 dejavu china denial who silence we should be vigilant,Positive,2
looks like chinese release new version every 5 years,Positive,2
en china wolltowoll,Neutral,1
everything looks exactly same as covid19 and spreading in very much the same way and all the governments are also responding the same way i dont think it is something to be taken lightly,Neutral,1
ahhhh another man made virus i wonder if the american tax payer funded this one too,Neutral,1
its a fake news guys chill,Negative,0
oh again another virus out of china trying to coerce ppl,Neutral,1
real news not a reel news,Neutral,1
media just playing their role in spreading fear,Negative,0
because donaldtrump in power ,Neutral,1
why are they always producing shit,Negative,0
thank you for letting us know palki,Positive,2
whats blackrock up to this time ,Neutral,1
its not funny,Negative,0
they sit and fabricate their own diseases and spread and then create a vaccine for us to buy may god judge them this evil from china wont work this time around,Negative,0
seems like it might be bill gates and the world economic forum among others fearmongering and hoping to cause destruction again ultimately god knows the truth of matter no matter what happens on this earth stay with jesus christ stay prayed up and put on the whole armor of god because theres lots of evil people out there that are trying to lead people astray and are seeking to harm others ask jesus to give you discernment abide in him and he abides in you so that you can tell the truth and recognize when someone is lying,Negative,0
creating outbreaks in order to make money out of the innocent,Positive,2
school botta be gone with this one,Neutral,1
ive got hmpv last year im stationed in the uae and im surprised that this is now an outbreak in my experience difficulty breathing a feeling of vomiting and cough and cold as well as a fever couldnt get out of the bed and it messed up my upper lungs got the virus when i was stationed in dubai,Negative,0
season 2025 of humanity episode 2025 disease trailer coming soon,Neutral,1
if she reported fake news would the comment section apologize to china,Negative,0
romania is calling,Neutral,1
seriously china what the actual hell learn damnit,Negative,0
have yall noticed something,Neutral,1
just in time for the new trump admin,Neutral,1
wont last long since its made in china,Neutral,1
i am in guangzhouchina everything is normal here you are such a full of shit,Negative,0
how about wearing mask and isolate china or thoroughly screen everyone leaving china asap as a precaution until who confirms announces that it is not necessary,Negative,0
as a chinese i was surprised to see this news because there is no news about the virus in china and there is no news around me and we are all living normally so i checked the news websites of other countries and found that only the indian media was reporting on it and there were no reports from other countries haha i can only say that the indian media lied again as for why the indian media lied it may be because there has been too much good news about china recently which is not good for the selfconfidence of the indian people,Neutral,1
season 2 is back ,Neutral,1
will not comply,Neutral,1
their evil plan with cabal preplanned 20th jan 2025 when trump takes office this fear will fade away crimes against humanity ongoing many unanswered questions from covid 19 agenda depopulation do not comply are these old videos from 2020 i thought and believed firstpost was reliable if you have friends or family in china ask them for real news,Negative,0
within the next 6 years the new year will start wtf in 2031 probably another dangerous disease will come on the scene,Negative,0
thank you for news ropoter,Positive,2
many teachings emphasize that what you sow you shall reapoften multiplied tenfold a principle proven over centuries when you sow good karma you receive tenfold in return and the same applies to negativity while i hesitate to speak ill of india the uk the us and certain western media outlets i believe their spreading of falsehoods and smearing others with fabricated accusations will inevitably result in a tenfold return of bad karma,Negative,0
recycling old footage again i see smh might even be using ai this time around same bs and the vaccinated sheep gonna fall for it again,Negative,0
indian fake news,Negative,0
this is the snake virus ,Neutral,1
china gotta chill out we dont need season 2 ,Neutral,1
wtf is china upto,Negative,0
only some asian channels spreading news against china virus stock market need to effect in poor asian foreign money senders poor daily veges and small scale salary peoples are scared about this news because we tire sending small amount of foreign money they will getting huge amount because of poor asian currency value going deep falling,Negative,0
will this be the new pandemic,Neutral,1
viruses always starting in china,Neutral,1
this is not true or as bad if it eas more news channels would have covered it,Negative,0
danny to close up the borders and flights toward china,Neutral,1
the kung fu virus donald trump,Negative,0
fake news from india again,Negative,0
fake news media this so fakeclickbaithahaaj,Negative,0
ive seen that footage before with boy in blue at 139 this is propaganda footage sent to you or a mix thereof flu has come and gone for decades good to be vigilant but be aware of whatwhos china control who strings are looking to pull biowarfare chaos among all people continues inauguration soon arriving and what better way to sow discord panic with all that theyve learned public response from the first one we are in a pitri dish dont fall for quick new imposed pharma interventions increase ancient rsi efforts of immunity good people  unite in wisdom and steady does it,Positive,2
no one can beat palkis cynicism and hatred towards jayna,Negative,0
jesus is coming back repent before its too late do not be deceived,Positive,2
here we go again pandemic 20,Neutral,1
the us made virus hits china and russia in perspective you loosing in ukraine and decided to use this weapon against innocent people what the uck with you,Neutral,1
oh for crying out loud like fricking clockwork,Negative,0
trump again and the new chinese virus again,Neutral,1
its almost like load up on theraflu and ride it out at home,Positive,2
the virus was made in china,Neutral,1
this indian are number one liars in the whole world the new virus is never originated from china it is original originated from india,Negative,0
china doesnt have the best metrics why ask a country for specific data when it lacks the systems to collect such data chinese are not like the germans japanese or israelis we need to ponder,Negative,0
china spreading positivity as always,Positive,2
china government use biological war again to beat trump which is a shame its too clear now,Negative,0
i think i got this registered my whole family is including my 17 month has this f_k ,Neutral,1
more patient in civil hospital which you look out us,Neutral,1
please come in civil hospital ahmedabad,Positive,2
it happens often but not everything becomes like covid 19,Negative,0
india is always in pandemic situation 365 days indian hospital are full of crowd at any real pandemic condition dead bodys start floating in the indian rivers authentication of news ans trust me bro,Negative,0
fake news once again,Negative,0
did israelbiden order another pentagon deadly virus be released in china are bill gate and anthony fausy about to make another billion dollars,Neutral,1
shame on firstpost to spread fake news,Negative,0
who is higher up than china,Neutral,1
mao ning reminds me of the north korean spokeswoman denial and propoganda,Neutral,1
the fog is causing it,Neutral,1
wuhan virus i just forgot that name where it originated thanks palki,Positive,2
ban all flights from china direct indirect all travellers from china to be sent back to china,Negative,0
no we are never complying again ever,Negative,0
this is exactly what happened when your words and actions did not meet each other china has fooled us with so many cover ups before covid 19 until they cannot control it and the world stumbled upon to deal with it anyway will see the drama rolling for the next following months of 2025,Negative,0
only a matter of time before some mysterious american,Neutral,1
it will be chinese new year soon world governments need to respond asap before people start rapidly moving in and out of china during this season this is the time covid started spreading around the world,Neutral,1
only india closing borders with china will not be enough to stop any pandemic rest of the world have to do the same only then this pandemic might stop from spreading,Negative,0
if a new virus for the people of this world then china had already found the medicine and how to safeguard their own people less than 4000 people had died due to covid 19 whereas the world lost millions they cheat the public by showing videos of makeshift hospitals and attending to those infected,Negative,0
huh here we go again season 2,Neutral,1
is this news verified,Neutral,1
well if all the students hear about this then are very happy ,Positive,2
if so close the border,Neutral,1
its already here,Neutral,1
man made it will fall in jesuss name no plague no disease will come close to my tent,Negative,0
we cant deal with another covidlike lockdown again i sure hope it never happens,Positive,2
this time we ban everyone from the us,Negative,0
there must be a board the prudently manage an emerging virus,Neutral,1
chinese must eat dal roti chawal etc not to eat all types of animal,Neutral,1
cough propaganda cough,Negative,0
no propaganda india godi media hmpv virus is already spreaded in indian himaliyan states due to cold weathermeans while godi media modi is vishwa guru,Negative,0
china is living 2050,Neutral,1
looks like its all fake unverified video it seems who has not declared anything urgent stop doing such unverified news,Negative,0
once again humanity has done what its always done when it comes to finding ways to make it look as if someone has history has shown viruses has always been a way of life on this planet  registeredregisteredregistered if its true humanity will always become creative again and work to find a cure  heres a question  when is comes to creating solutions to rid humanity of war homelessness starvation healthcare for all and most importantly peace on earth and good will to humanity  just a thought  humanitys love for one another is key to creating heaven here on this beautiful planet   for all of humanity ,Positive,2
so a new wtf year begins and it opens with a new virus anyone noticing the pattern ,Negative,0
you will eat zee bugs,Neutral,1
come on i dont want to be locked down again,Negative,0
be ready pubg gamers will be back ,Positive,2
keep it in china please,Positive,2
believing palki sharma and indian media is just funny its like going to tseries to expect quality journalism,Positive,2
last time they screwed the world over they received zero punishment,Negative,0
something tells me it wont be long before chine sets off the zombie apocalypse,Neutral,1
they have over population in the cities over the years we all live like rats in a box when there is miles and miles of open spaces to live in separating the people would help quit living like rats in a box,Positive,2
american media has been quiet about this issue the coverage over hmpv is overwhelmingly from india,Negative,0
this is another fake news and you fall for it,Negative,0
hope you are not lying because channel has ties with india ,Positive,2
why share a video that you can not confirm the source you are feeding fear,Negative,0
is it a coincidence or do ufos and pandemics only appear when the right wins in the usa trump,Positive,2
wheres slouchy fauchi,Neutral,1
lol china is conducting a health drama again because donald trump is back to power just like what they did 6 years ago they think they can fool the world again  the truth is their economy is collapsing because of us tariff law and they want the world economy to collapse too tha is if the world is still a fool like it was 6 years ago ,Negative,0
chine whats wrong with you people new viruses every kow and then something must be done please dont travel to other countries,Negative,0
hello palki fake news doesnt help you the virtue of news report is truth what you report is just demonization and slandering,Negative,0
check wuhan you will find it there,Neutral,1
its a fake news videos on the internet are from the old covid these are not the new videos,Negative,0
we are doing a sequel,Neutral,1
i came to say please borders must be closed with immediate effect,Positive,2
someome said new update just dropped ,Neutral,1
how much did democrats pay them this time,Negative,0
india is the greatest country makesure toilet is clean first,Positive,2
fake newsashame,Negative,0
you know what else is massive ,Neutral,1
when you watched this and everything just had happened during covid 19 pandemic flashesback ,Neutral,1
beta gamma research china virus 20,Neutral,1
thank you indian but i feel obliged to point out that before concering chinas situation you had better take care your shitting ass,Positive,2
what did they eat this time shit,Negative,0
i think that gov should seal the airport so soon as possible,Neutral,1
these viruses be frieze because what the hell ,Negative,0
new years gift for the world from china,Positive,2
covid had been around since the 60s its all lab born man made,Neutral,1
lets learn from last time shut down all flights from china,Neutral,1
class 10 board and 12 attendance here ,Neutral,1
they need to stop  eating wild animals,Negative,0
this is the work of the globalist we expected thisthe same disease pneumoniathey manufactured covid during trumps era and they are back,Neutral,1
if the video is unverified why you show it,Neutral,1
i dont understand whats this source call social media,Neutral,1
its gonna be covid 19 plus 6,Neutral,1
close our borders now,Neutral,1
please god cancel exams,Positive,2
china theres no shame in telling truth it is a part of honour help your people just like a cure was found for covid maybe they could do it for this virus too if you need help with extra staff or equipment please ask the worse they can do is say no best case you will get some temporary aid to help your people your family they are all your family your niece nephew aunty uncle honour and respect for the people and the safety of other nations please global travel moves viruses quickly usually by accident its the nature of viruses it always has been hope they all get better soon,Positive,2
this news reporter is based,Neutral,1
dear lord let me graduate in peace this year,Positive,2
who let the dawgs out again ,Neutral,1
china will deny it again,Negative,0
covid season 2 before gta 6,Neutral,1
it was caused by all these foreigners who was visiting china with free visa policy,Positive,2
china is once again at the center of a health crisis five years after the covid19 pandemic began the country is being criticized for not sharing data about the new outbreak which has raised concerns that it could become another global pandemic neighboring countries should be vigilant about the situation in china and take steps to protect their citizens,Negative,0
this is duplicate version of covid19 not again ,Neutral,1
were fucked again,Negative,0
old players comeback,Neutral,1
its happening again this to distract you and take away your freedoms,Neutral,1
if its real they should stop all planes last one was a test and governments failed the people trump will tell all if he shuts down planes from china,Negative,0
hike in prices again oh no where we will get money,Negative,0
who ccp it fake news nothing to worry still not everyone dieing everywhere one time,Negative,0
border seal flight seal,Neutral,1
will not be getting vaxed again no way no how,Negative,0
how can people still believe this shit wake up people,Negative,0
fake news and old videos,Negative,0
who will profit the most if this is true  talking about billions,Positive,2
o sht hear we go agin ,Neutral,1
russia clutches up with a possible cancer vaccine china creates a deadly virus,Negative,0
shut down china,Neutral,1
i barely survived the boredom of 2020 now this what animal did they eat this time,Positive,2
well ping it better not make its way out of china or this time there will be a new agenda and youd be stupid not to know what that is,Positive,2
shieeeet i sure hope we get another round of shutdowns,Positive,2
and history repeats itself again its traumatizing,Negative,0
now they again fool indians to forget the torture of bjp like when they mention pakistan happen,Negative,0
 still in denial lying to the world ,Negative,0
fake news on peak by godi media,Negative,0
these was already planned for 2025 watch the link below,Neutral,1
your anti china stance hurts your credibility as an impartial journalist,Negative,0
so the sequel of covid19 is finally here,Neutral,1
here we go agan,Neutral,1
if this means i have to go back to online classes _i would rather cease to exist_,Neutral,1
simple close all china borders until this is controlled so the world can be safe and they can fix it,Positive,2
do not trust who it belongs to china,Negative,0
covid25 is back again,Neutral,1
communist china perhaps had a lot of organs from covid victims it had the cure so while people died the communist party harvested their parts for export commodities,Negative,0
what crap,Negative,0
china has been playing plague inc again ,Positive,2
this is just another strategy for china to get to the topreleasing another bioweapon,Neutral,1
communist china is testing the effectiveness of its newly invented virus on its own people before exporting it,Neutral,1
no no no no you guys are not ruining my 2025 year im not going to stay in home i do not consent to this just keep that crap in china close the borders naval airway because im really sick of it,Negative,0
ccp bullshit again,Negative,0
what are the chinese authorities upto it seems they always mange to conjure up some life threatining virus now and then who should impose some super strict scantions on them,Positive,2
best to stay home and not travel anywhere,Positive,2
i know how much india hates china,Negative,0
covid 20 the return,Neutral,1
its all about controlling the systems all over the world,Neutral,1
please find from japan,Positive,2
china always wants to look good for outsiders by covering up viruses like we dont know that covid came from china,Positive,2
palki sharmas tragedy the dream of indias rise is shattered you can never trust a man in a skirt,Negative,0
yeah anything to derail tge trump administration clearly the war mongering has failed,Negative,0
vaccine theory is a bogus theory its made for making money no vaccine really saved any real case and all vaccines came only after the cases are gone immunity was formed only covid came during outbreak and even now many are suffering because of vaccines and maltreatement never boast vaccine as a method to save humanity,Positive,2
someone ban this country from the rest of the world,Negative,0
they are reducing the population,Neutral,1
please close the us border,Positive,2
chaina products are always low in quality expect these virus,Negative,0
yeah guys its good game,Positive,2
is this real some says fake news,Negative,0
yeah india learnt from the past lol ,Positive,2
and the whole world will be on luck down again,Positive,2
wtf chinese never disappoints us2025 here we go again ,Negative,0
actually if you think about doesnt china trying to put their people on quarantine even if the covid 19 is over,Neutral,1
nobody can trust who ccp or obiden administration and this is happening right before trumps inauguration desperate move yet innocent people will die around the world just like covid china virus,Positive,2
why they waited till trump again v,Neutral,1
yall ready for round 2,Positive,2
why are you guys spreading fake news you should be ashamed of yourself,Negative,0
this is report is more dramatic than the effects of the  unknown virus which has been known for the past 24 years heavens knows what will happen if the virus ends up in india a real disaster given the poor status of its health care facilities there,Negative,0
any sickness and virus always comes out from china its bizarre,Negative,0
china on rampage crushing humanity with its biological warfare ,Negative,0
everyone who tries to impose fear to people plus this channel are all dumb,Negative,0
why it always start in china tho,Neutral,1
these people have destroyed nature in their countries in the name of development the nature is fighting back they dont have fresh air to breath,Negative,0
why people eat animal ,Neutral,1
wuhan viruscreate a pressure either collapse or break a systemchina seems to handle such issue efficiently developing country can expect only sympathy and kneel before it than defend it,Negative,0
what is china planning ,Neutral,1
i just reading the comments and wondering how come the american people are so stupid comments like close china border or stop traveling chines people or seriusly something wrong whit china sorry but you guys dark as a night really you dont know what is going on bill gates told you gonna be another pandemic  they doing again but this time the virus gonna be stronger so you will rush to get vaccine big mistake again unbelivable i cant belive most of the americans are blind maybe the fog inside,Negative,0
omgso what who doing now,Neutral,1
right thats why weve never heard of it because its been around for 60 years ,Neutral,1
w h o put all restrictions in and out travel from china and hong kong,Neutral,1
stop all chinese entering or any person coming via china,Negative,0
where is who these guys r sleeping no action in time in fact who is responsible for the spread of these virus,Neutral,1
the timing is that trump is getting elected and bill gates comment that india is a testing lab was known to all,Neutral,1
just launch hell fire already yall dragging like a cheap suspense film registered,Negative,0
close the border an international flights,Neutral,1
ban incoming planes from winnie the poohs la la land,Negative,0
every thing that you buy from amazon walmart and dollar stores are all from china so they already brought it to the world,Positive,2
i think this is fake news,Negative,0
that is true maybe that is the fruit of cold weather yesterday night i heard the news from 24hours that there was new virus spreading in china,Positive,2
this is what happened when trump got in the first time and was kicking chinas butt they released covid on the world because trump is a threat to these globalist and their plan for one world order shame,Negative,0
time for round two,Neutral,1
sheeple will be sheeple,Neutral,1
enough is enough please close the border this time fast action needed,Positive,2
they eat everything and then they say weve spread a new virus wtf,Negative,0
shame on you as a nation,Negative,0
human metapneumovirus hmpv can cause upper and lower respiratory disease in people of all ages especially among young children older adults and people with weakened immune systems discovered in 2001 hmpv is in the pneumoviridae family along with respiratory syncytial virus rsv and india media trying to make a big fuss about it fake news lol,Negative,0
they just want to end up vaccinating our children thats what it sounds like,Positive,2
hmpv isnt new virus its existed very long ago peoples dont study now,Neutral,1
china must be quarantine forever,Neutral,1
bro covid needs to put the fries in the bag ,Neutral,1
america is behind itthey cant used millatry warfare agianst china they use germ warfare,Positive,2
what have they eaten now a rats head to get rid their spots registered,Neutral,1
pneumonia of unknown origins pouo pouo25,Neutral,1
215 you know what else is massive the low taper fadeeeee,Negative,0
bro the year just started what,Neutral,1
they keep making biological wepons laboratory made virus they should be held accountable for all the deaths worldwide while the true defenition of genocide,Positive,2
those five areas are having cold winter months so flu like virus do happen here where i am in the south there are no cases,Negative,0
can you tell please what does who and others are saying,Positive,2
the only thing indians learned from the brits is how to use news to spread rumours maybe you should learn how to build a prosper society and work ethics like the brits,Positive,2
propaganda by omission as usual from this channel,Negative,0
covid25,Neutral,1
it is just a type of flu which has been around for 60 years of more but was only identified by scientists around 20 years ago the us also saw an increase in hmpv cases in april of last year it is has a slow growth rate and has nonspecific symptoms and there is no specific vaccine for it as per the us cdc the mortality rate from the virus is very low to non existent the uk has over 5k people admitted to hospital in novdec suffering from flu with around 200 in critical care why so many is that the fault of china or just that people refuse to wear a mask or take other precautions to stop the spread,Negative,0
first of all if china hasnt shared any data how does the news know about it the videos are unverified so no one knows if the video is recent or 4 years old in fact the indian lady doesnt know anything verified,Negative,0
unknown origintortoise registered,Neutral,1
anothermedically made epidemic,Neutral,1
palki palki palki when news like this come out of china palki is spreading the news like everything she said is confim i dont see alot of news from india with there disease palki always talking china ,Positive,2
welcome 2025,Positive,2
they wont close these behaviour of out break of viruses since the global population comes to zero because they community want to occupy whole world fully on their hands with out war other way to war is spreading these viruses  brainless people spoiling the whole world peace  what to do  god should only come and save the planet,Positive,2
ahhhhh shyt here we go again cjs voice ,Neutral,1
a i video another lie,Neutral,1
stop this lie new method of war,Negative,0
i just got some new spicy potato chips and theyre really spicy wow theyre yummy though,Positive,2
beijing blocking data is same shit with corona they just need to build vaccine first before introducing the virus to the world and while philippines health department spokesperson said nothing to be afraid cuz its lie just like how they downgrade corona first before reacting to the matter at hand,Negative,0
world is still recovering from last chinese virus now this new one,Neutral,1
this happen because chinese eat wild animal insects etc,Neutral,1
there are no suchreports from any media palki is spreading fake news trying to demonise china,Negative,0
looks that its in texas already,Neutral,1
european living in china here this is scaremongering please stop this nonsense no such event taking place,Negative,0
there we go again another gift for pres trumps victory maha,Positive,2
the indian media will also spread rumors and discredit what else will it be,Neutral,1
ban right all international people in india,Negative,0
well well well time to pull your pants down this time for the needle,Positive,2
stop eating everything which moves china,Negative,0
why is it only china do they manufactures death always,Negative,0
early dismissal is exactly what happened with covid19 soon it turned into gradual alarm and then became fullout panic prepare for the worst hope for the best get stocked up on bottled drinking water toilet paper sanitizer face masks and nonperishables as soon as you can,Negative,0
breath silver 20 ppm 3 spoons a day ionic silver zinc vitc drbill,Neutral,1
china has become the no1 producers of virus too,Neutral,1
i will not comply,Neutral,1
are you sure this is not fake news created by ai,Positive,2
biological warfare,Negative,0
another plandemic,Neutral,1
im a singaporean working living in shenzhen china across the border from hk for 2years till today 05jan2025 and ive recently been to at least 5 public hospitals in southern china theres absolution no truth in any of your reports on china hiding a new pandemic virus etc while i support freedom of press and reporting of the truth but spreading such rumours is fearmongering biased reporting,Positive,2
that hospital looks pretty clean and orderly to me,Positive,2
oh shit here we go again,Negative,0
buisness again,Neutral,1
why does this happen when trump is in power or about to come in power,Neutral,1
this time we are done at all,Neutral,1
please close the borders we cant deal with this again,Positive,2
its almost the same time ,Neutral,1
fake or not we must prepare and close all border,Negative,0
its massive if ykyk,Neutral,1
please not again,Positive,2
what convenient timing are you kidding me we will not comply,Positive,2
trump effect ,Neutral,1
we must start to call it as 2nd china virus instead of hmpv,Neutral,1
i echo her sentiment here but why does she keep calling covid19 as wuhan virus during 2021 a lot of asians living in us faced racial attacks because trump started using this term can you be a bit sensitive to racism people may face just because their home country situated halfway across the world is messing up,Negative,0
its always these damn chinese man,Negative,0
another  virus  made in china oh registered,Neutral,1
result of eating all kind of insect and animals including human,Neutral,1
please dont give it again in the world why everything happens in china  hope to heal soon,Positive,2
no come on guys not again your warfare should not disturb us  poor people are suffering please depopulation,Positive,2
new virus exactly 2 weeks prior to trump taking office ,Neutral,1
they creat virus ,Neutral,1
get ready again,Positive,2
this lady is cute,Positive,2
nooooo fuuuuuck not another pandemic,Neutral,1
christ jesus is coming back soon folks may we all repent and live for him before its to late  ,Neutral,1
its coming i hope everyone stays safe hydrated please drink plenty of water and fruits and herbs trust me you will be fine god bless us all for protection and strength,Positive,2
china must be declared as a forbidden nation,Negative,0
this virus came from india,Neutral,1
this country didnt learn a lesson from covid19,Neutral,1
oh give me a break trying to suppress trump again,Neutral,1
eating rats and anything that moves what do you expect,Neutral,1
pfft id be more worried about the people if you do impose restrictions,Negative,0
but where did it came from,Neutral,1
it is a common respiratory disease that has been impacted to the people living in modern life styles i think if it doesnt have a treatment and it is contracting only to a certain age of people it couldnt be a serious disease it is hard to developed to a global panicky situations if it was the government intelligent agents wouldve informed and global traveling shouldve been restricted by now and if it is highly transmittable virus the most frequently travelled areas such as hong kong taiwan and s korea will be severely rampaging patients in regions initially but differently from our concerning everything is quiet and normal globally those medical and social commotions could merely be a local and seasonal symptoms that people suffer from,Negative,0
map was shown red ,Neutral,1
fake news is published every day and the indian people really have no thinking ability and they are fooled by the media every day poor thing,Negative,0
who would have thought after a mass roll out of trial gene therapies and vaccines all around the world that peoples immune systems are tapped out goodluck to those that swallowed the propaganda hook line and sinker,Positive,2
theyre are eating dogs and cats ,Neutral,1
why china again is this their strategy to dominate the world economy ufff,Negative,0
get well soon china,Positive,2
when it comes to the military china is an advanced country but when it comes to diseases its a third world country earlier most of the diseases would evolve or emerge from the african continent because of poor economic conditions but now its china because of extreme economic advancement,Negative,0
oh man tell them stop eating every shit they see ,Negative,0
news here in the phils says china saying its all fake news goodluck phils same scenario last covid pandemic,Negative,0
antichina news from indians lol the phrases used in news reporting are so insinuating and meant to generate negativity,Negative,0
the music doesnt help,Negative,0
winter time in china this time its common to have a flu like symptoms and cold,Neutral,1
im not going to comply so dont start with me,Neutral,1
ichina and africa the elite is doing the the is to people so they can get richer,Positive,2
bill gates will bring it to america he must be stopped ,Negative,0
why is this news not broadcast by another country channel i am seeing all indian channels only,Neutral,1
the us is losing hard these days it looks like they are using biological weapons again in china,Negative,0
propaganda from palki nothing new lol,Negative,0
take necessary action who has to reponse as soon as possible,Neutral,1
fighting about an women desire not too much head on me,Positive,2
dont let them come to our country please,Positive,2
just another wef and china lie,Neutral,1
if she can pronounce the province name correctly i would have trusted her,Positive,2
its all theatre,Neutral,1
will there be a day when she will say some good news about china lol,Positive,2
i love this lady,Positive,2
im not with the who and feel that china needs to be transparent about any and all viruses there needs to be a health transparency stop waiting to the shit hit the fans,Positive,2
west and israhell trying to controll china economy with virus,Neutral,1
why is it always china,Neutral,1
bro 2025 just started ,Neutral,1
its can stay in china,Neutral,1
opportunity to vaccinate children this time,Positive,2
year of the snake,Neutral,1
another palki long nose pinocchio lies hospitals are always crowded especially government hospitals,Negative,0
maybe from the fog thats going aroundsounds a lot like the same script as beforemaybe just the same oildpoisoning that the psychos are obsessed with,Positive,2
some people only believe what they want to believe so they are easily brainwashed by crap media,Positive,2
may it stay where it started unless it had help like the covid viruswhich congress questioned blinken about sending it up in chinas lab when them stop him and who every from doing the experiments in the usa and send the tax payers money up their to fund it the video is out there unless taken down by you tube people will still have it in their computers who watched itthey had to supeneo blinken rand paul he tell blinken i send and called you to ask you about the tax payers money you take and send to chini to fund the covid virus and yousend and say you in coming and nobody cant do you nothin i watched it like i watched them questioning him on his legacy and tell him a report was written on it,Positive,2
fake news i just came back from china life is as normal as before jealousy can make some indians crazy,Negative,0
another scam,Negative,0
same in three days how about 13 years recording and texting nor waiting,Neutral,1
feels like overhyped media trying to get clicks nobody else is reporting on this at all,Positive,2
new updates has been release please update your bodies,Positive,2
ooh sht here we go again,Neutral,1
biden talk about this before when he said he wants every single person around the world be vaccinate by a certain time in 2023 and masks againsome world leaders kick back against what he said even england had their say i didnt hear any thing more coming from biden about a second vaccine and felt good but it seems that plans were still ahead,Positive,2
china ripping internet lines in the ocean creating viruses hacking harassing ships on the ocean then pretend to be your friend,Positive,2
how does it always happen to be china creating viruses,Positive,2
they release diseases over there like nike release footwear,Positive,2
after 5 years in china out break again it i same zing,Neutral,1
trump about to take office and look some virus what a coincidence,Neutral,1
i predicted this about 3 months ago that another germ will come that may follow by another germ englands hospitals are in a similar situation,Neutral,1
they eat frogs there am not surprised,Negative,0
registered okay close the borders no fly zone,Negative,0
open the borders and help these people across to india please,Positive,2
can we go again close the borders no flights in or out of china please not again,Neutral,1
dont come to america,Neutral,1
chinese and their unending viruses  keep it to yourself please ,Positive,2
if this is fakeyoutube should close this channel,Neutral,1
the food chicklin mixs wirh you know what since im,Neutral,1
they want to lie to us again,Positive,2
it is cold season in winter dont be misled by bias media,Negative,0
wait can cause pnemonia i live in an area that has tons of travelers especially from china i had walking pnemonia after i cought the flu it was awful i wonder if it was this ,Negative,0
we need to cut off all flights coming in to the usa from other countries screw the international community we need to isolate ourselves for the next four years as we rebuild so we dont get hit with any foreign obstacles like covid,Negative,0
those chinese people always living about serious matter,Negative,0
china is trying to kill its elderly population because it will have 400million people retired living off a drained retirement monetary system that will bankrupt the country and cause it to callapse straight and simple,Negative,0
to teach americans right,Neutral,1
if not heard they got recording until i die,Negative,0
they dont like you and dont and dont want to change,Negative,0
onather scamalways china tricking the world,Neutral,1
dont buy any chinese product because in their products also virous available,Neutral,1
philuppines close our boarder coming from china to avoid this virus spread to our country,Negative,0
